Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dorylomorpha_extricoides,41,5.4568,5.4898,440,0.9980,5,5.4967,0.9980,0.0003,10041,6.7564,0.2942,1.3263,2.1850,26.1561,2.4682,0.0000,0.0000,0.0000,0.0000,0.0000,6.5056,8.5996,0.0000,0.1422,0.0086,0.0000,0.0433,0.2939,35.9654,3.8092,0.4773,0.0000,0.0409,0.0000,4.8872,0.0000,0.0247,0.0000,0.0021,0.0137,3.7580,0.0021,1.0000,0.1916,0.0042,0.0000,0.0000,1.28E-12,5.0000,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,0.1531,0.0016,0.0060,0.0000,0.0000,7.619E-12,1.0157,0.1916,0.0042,0.0000,0.0000,1.28E-12
Dorylomorpha_extricoides,41,5.4568,5.4898,440,0.9980,5,5.4967,0.9980,0.0003,10041,6.7564,0.2942,1.3263,2.1850,26.1561,2.4682,0.0000,0.0000,0.0000,0.0000,0.0000,6.5056,8.5996,0.0000,0.1422,0.0086,0.0000,0.0433,0.2939,35.9654,3.8092,0.4773,0.0000,0.0409,0.0000,4.8872,0.0000,0.0247,0.0000,0.0021,0.0137,3.7580,0.0021,1.0000,0.1916,0.0042,0.0000,0.0000,1.28E-12,5.0000,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,0.1531,0.0016,0.0060,0.0000,0.0000,7.619E-12,1.0157,0.1916,0.0042,0.0000,0.0000,1.28E-12
Dorylomorpha_extricoides,41,5.4568,5.4898,440,0.9980,5,5.4967,0.9980,0.0003,10041,6.7564,0.2942,1.3263,2.1850,26.1561,2.4682,0.0000,0.0000,0.0000,0.0000,0.0000,6.5056,8.5996,0.0000,0.1422,0.0086,0.0000,0.0433,0.2939,35.9654,3.8092,0.4773,0.0000,0.0409,0.0000,4.8872,0.0000,0.0247,0.0000,0.0021,0.0137,3.7580,0.0021,1.0000,0.1916,0.0042,0.0000,0.0000,1.28E-12,5.0000,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,0.1531,0.0016,0.0060,0.0000,0.0000,7.619E-12,1.0157,0.1916,0.0042,0.0000,0.0000,1.28E-12
Dorylomorpha_extricoides,41,5.4568,5.4898,440,0.9980,5,5.4967,0.9980,0.0003,10041,6.7564,0.2942,1.3263,2.1850,26.1561,2.4682,0.0000,0.0000,0.0000,0.0000,0.0000,6.5056,8.5996,0.0000,0.1422,0.0086,0.0000,0.0433,0.2939,35.9654,3.8092,0.4773,0.0000,0.0409,0.0000,4.8872,0.0000,0.0247,0.0000,0.0021,0.0137,3.7580,0.0021,1.0000,0.1916,0.0042,0.0000,0.0000,1.28E-12,5.0000,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,0.1531,0.0016,0.0060,0.0000,0.0000,7.619E-12,1.0157,0.1916,0.0042,0.0000,0.0000,1.28E-12
Dorylomorpha_extricoides,41,5.4568,5.4898,440,0.9980,5,5.4967,0.9980,0.0003,10041,6.7564,0.2942,1.3263,2.1850,26.1561,2.4682,0.0000,0.0000,0.0000,0.0000,0.0000,6.5056,8.5996,0.0000,0.1422,0.0086,0.0000,0.0433,0.2939,35.9654,3.8092,0.4773,0.0000,0.0409,0.0000,4.8872,0.0000,0.0247,0.0000,0.0021,0.0137,3.7580,0.0021,1.0000,0.1916,0.0042,0.0000,0.0000,1.28E-12,5.0000,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,0.1531,0.0016,0.0060,0.0000,0.0000,7.619E-12,1.0157,0.1916,0.0042,0.0000,0.0000,1.28E-12
Dorylomorpha_extricoides,41,5.4568,5.4898,440,0.9980,5,5.4967,0.9980,0.0003,10041,6.7564,0.2942,1.3263,2.1850,26.1561,2.4682,0.0000,0.0000,0.0000,0.0000,0.0000,6.5056,8.5996,0.0000,0.1422,0.0086,0.0000,0.0433,0.2939,35.9654,3.8092,0.4773,0.0000,0.0409,0.0000,4.8872,0.0000,0.0247,0.0000,0.0021,0.0137,3.7580,0.0021,1.0000,0.1916,0.0042,0.0000,0.0000,1.28E-12,5.0000,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,2.8428,0.4392,0.0041,0.0000,0.0000,1.135E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,5.2718,0.5101,0.0040,0.0244,0.0000,1.003E-12,0.1531,0.0016,0.0060,0.0000,0.0000,7.619E-12,1.0157,0.1916,0.0042,0.0000,0.0000,1.28E-12
Dorylomorpha_extricoides,42,5.4341,5.4661,440,0.9979,4,5.4728,0.9980,0.0003,10042,6.0454,7.9835,2.7687,0.0000,26.1631,0.0000,0.2013,3.2070,0.0000,1.8919,0.0000,5.9873,1.1046,0.0000,0.1957,0.0131,0.0000,0.0000,0.0000,41.1013,0.0125,2.7227,0.0000,0.0726,0.0000,0.5222,0.0000,0.0040,0.0000,0.0032,0.0000,3.7807,0.0022,1.0000,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.0000,0.5098,0.0041,0.0238,0.0000,2.779E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,0.1455,0.0016,0.0061,0.0000,0.0000,1.362E-9,0.9852,0.1908,0.0043,0.0000,0.0000,3.362E-10
Dorylomorpha_extricoides,42,5.4762,5.4768,180,0.9979,4,2.4779,0.9969,0.0009,10042,0.0000,0.0000,8.3904,3.7384,3.6474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9138,0.0000,0.0000,0.0008,0.0065,0.0000,0.0021,68.8001,0.0611,0.0006,0.0380,0.0043,0.0000,7.3965,0.0000,0.0000,0.0000,0.0000,0.0000,3.7382,0.0021,1.0000,0.5001,0.0042,0.0000,0.2500,2.917E-7,2.3871,0.5001,0.0042,0.0000,0.2500,2.917E-7,2.3871,0.5001,0.0042,0.0000,0.2500,2.917E-7,2.3871,0.5001,0.0042,0.0000,0.2500,2.917E-7,2.3871,0.5001,0.0042,0.0000,0.2500,2.917E-7,0.0001,0.0000,0.0060,0.0000,0.0000,1.274E-9,0.0001,0.0000,0.0060,0.0000,0.0000,1.274E-9,0.0063,0.0007,0.0043,0.0000,0.2500,3.13E-7,2.3871,0.5001,0.0042,0.0000,0.2500,2.917E-7
Dorylomorpha_extricoides,42,5.4341,5.4661,440,0.9979,4,5.4728,0.9980,0.0003,10042,6.0454,7.9835,2.7687,0.0000,26.1631,0.0000,0.2013,3.2070,0.0000,1.8919,0.0000,5.9873,1.1046,0.0000,0.1957,0.0131,0.0000,0.0000,0.0000,41.1013,0.0125,2.7227,0.0000,0.0726,0.0000,0.5222,0.0000,0.0040,0.0000,0.0032,0.0000,3.7807,0.0022,1.0000,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.0000,0.5098,0.0041,0.0238,0.0000,2.779E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,0.1455,0.0016,0.0061,0.0000,0.0000,1.362E-9,0.9852,0.1908,0.0043,0.0000,0.0000,3.362E-10
Dorylomorpha_extricoides,42,5.4341,5.4661,440,0.9979,4,5.4728,0.9980,0.0003,10042,6.0454,7.9835,2.7687,0.0000,26.1631,0.0000,0.2013,3.2070,0.0000,1.8919,0.0000,5.9873,1.1046,0.0000,0.1957,0.0131,0.0000,0.0000,0.0000,41.1013,0.0125,2.7227,0.0000,0.0726,0.0000,0.5222,0.0000,0.0040,0.0000,0.0032,0.0000,3.7807,0.0022,1.0000,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.0000,0.5098,0.0041,0.0238,0.0000,2.779E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,2.7730,0.4394,0.0042,0.0000,0.0000,3.06E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,5.1444,0.5098,0.0041,0.0238,0.0000,2.779E-10,0.1455,0.0016,0.0061,0.0000,0.0000,1.362E-9,0.9852,0.1908,0.0043,0.0000,0.0000,3.362E-10
